"ecotypeid"	"srr"
6943	"SRR1945776"
6944	"SRR1945777"
6945	"SRR1945778"
6951	"SRR1945779"
6956	"SRR1945780"
6957	"SRR1945781"
6958	"SRR1945782"
6959	"SRR1945783"
6960	"SRR1945784"
6961	"SRR1945785"
6963	"SRR1945786"
6966	"SRR1945787"
6967	"SRR1945788"
6968	"SRR1945789"
6969	"SRR1945790"
6970	"SRR1945791"
6971	"SRR1945792"
6973	"SRR1945793"
6974	"SRR1945794"
6975	"SRR1945795"
6976	"SRR1945796"
6979	"SRR1945797"
6981	"SRR1945798"
6982	"SRR1945799"
6984	"SRR1945800"
6986	"SRR1945801"
6987	"SRR1945802"
6989	"SRR1945803"
6990	"SRR1945804"
6992	"SRR1945805"
6997	"SRR1945806"
7000	"SRR1945807"
7002	"SRR1945808"
7003	"SRR1945809"
7008	"SRR1945810"
7013	"SRR1945811"
7014	"SRR1945812"
7025	"SRR1945813"
7026	"SRR1945814"
7028	"SRR1945815"
7031	"SRR1945816"
7033	"SRR1945817"
7036	"SRR1945818"
7058	"SRR1945819"
7061	"SRR1945820"
7062	"SRR1945821"
7063	"SRR1945822"
7064	"SRR1945823"
7067	"SRR1945824"
7068	"SRR1945825"
7071	"SRR1945826"
7072	"SRR1945827"
7077	"SRR1945828"
7081	"SRR1945829"
7092	"SRR1945830"
7094	"SRR1945831"
7096	"SRR1945832"
7102	"SRR1945833"
7103	"SRR1945834"
7106	"SRR1945835"
7107	"SRR1945836"
7109	"SRR1945837"
7117	"SRR1945839"
7119	"SRR1945840"
7120	"SRR1945841"
7125	"SRR1945842"
7126	"SRR1945843"
7127	"SRR1945844"
7130	"SRR1945845"
7133	"SRR1945846"
7138	"SRR1945847"
7143	"SRR1945848"
7147	"SRR1945849"
7158	"SRR1945850"
7161	"SRR1945852"
9730	"SRR1946306"
9731	"SRR1946307"
9732	"SRR1946308"
9733	"SRR1946309"
9735	"SRR1946310"
9736	"SRR1946311"
9737	"SRR1946312"
9738	"SRR1946313"
9739	"SRR1946314"
9741	"SRR1946315"
9745	"SRR1946318"
9747	"SRR1946319"
9748	"SRR1946320"
9749	"SRR1946321"
9755	"SRR1946323"
9756	"SRR1946324"
9757	"SRR1946325"
9758	"SRR1946326"
9759	"SRR1946327"
9761	"SRR1946328"
9764	"SRR1946330"
9766	"SRR1946331"
9768	"SRR1946332"
9769	"SRR1946333"
9770	"SRR1946334"
9771	"SRR1946335"
9772	"SRR1946336"
9774	"SRR1946337"
9775	"SRR1946338"
9776	"SRR1946339"
9778	"SRR1946341"
108	"SRR1945436"
139	"SRR1945437"
159	"SRR1945438"
265	"SRR1945439"
350	"SRR1945440"
351	"SRR1945441"
403	"SRR1945442"
410	"SRR1945443"
424	"SRR1945444"
428	"SRR1945445"
430	"SRR1945446"
630	"SRR1945456"
766	"SRR1945465"
768	"SRR1945466"
772	"SRR1945467"
801	"SRR1945468"
870	"SRR1945473"
915	"SRR1945474"
932	"SRR1945475"
991	"SRR1945476"
1002	"SRR1945479"
1061	"SRR1945481"
1062	"SRR1945482"
1063	"SRR1945483"
1158	"SRR1945486"
1254	"SRR1945488"
1257	"SRR1945489"
1317	"SRR1945491"
1552	"SRR1945492"
1829	"SRR1945507"
1853	"SRR1945512"
1872	"SRR1945513"
1890	"SRR1945514"
1925	"SRR1945515"
1954	"SRR1945518"
2016	"SRR1945519"
2171	"SRR1945531"
2202	"SRR1945533"
2276	"SRR1945537"
2278	"SRR1945538"
5811	"SRR1945584"
5890	"SRR1945596"
5893	"SRR1945597"
5921	"SRR1945599"
6097	"SRR1945647"
6098	"SRR1945648"
6099	"SRR1945649"
6100	"SRR1945650"
6102	"SRR1945652"
6104	"SRR1945653"
6105	"SRR1945654"
6106	"SRR1945655"
6107	"SRR1945656"
6108	"SRR1945657"
6109	"SRR1945658"
6111	"SRR1945659"
6112	"SRR1945660"
6114	"SRR1945662"
6115	"SRR1945663"
6118	"SRR1945664"
6122	"SRR1945666"
6124	"SRR1945668"
6125	"SRR1945669"
6126	"SRR1945670"
6128	"SRR1945671"
6131	"SRR1945672"
6132	"SRR1945673"
6133	"SRR1945674"
6134	"SRR1945675"
6136	"SRR1945676"
6137	"SRR1945677"
6138	"SRR1945678"
6140	"SRR1945679"
6142	"SRR1945681"
6145	"SRR1945682"
6148	"SRR1945683"
6149	"SRR1945684"
6150	"SRR1945685"
6151	"SRR1945686"
6153	"SRR1945687"
6169	"SRR1945691"
6172	"SRR1945692"
6173	"SRR1945693"
6174	"SRR1945694"
6177	"SRR1945695"
6180	"SRR1945696"
6192	"SRR1945701"
